pickup,delivery,distance,equipment,weight,day,month,day_of_week,pickup_lat,pickup_lon,delivery_lat,delivery_lon,market_index,quote_signal,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,1,12,0,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,836.2914999999997
Lexington,Fort Wayne,360,Dry Van,32000,2,12,1,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,837.7099999999997
Lexington,Fort Wayne,360,Dry Van,32000,3,12,2,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.0653999999995
Lexington,Fort Wayne,360,Dry Van,32000,4,12,3,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,839.0051999999996
Lexington,Fort Wayne,360,Dry Van,32000,5,12,4,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.1196999999999
Lexington,Fort Wayne,360,Dry Van,32000,6,12,5,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,835.7198000000001
Lexington,Fort Wayne,360,Dry Van,32000,7,12,6,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,833.8628
Lexington,Fort Wayne,360,Dry Van,32000,8,12,0,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,836.7797999999997
Lexington,Fort Wayne,360,Dry Van,32000,9,12,1,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,837.9093999999998
Lexington,Fort Wayne,360,Dry Van,32000,10,12,2,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.1235999999997
Lexington,Fort Wayne,360,Dry Van,32000,11,12,3,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.5247999999997
Lexington,Fort Wayne,360,Dry Van,32000,12,12,4,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.2417999999998
Lexington,Fort Wayne,360,Dry Van,32000,13,12,5,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,836.4736000000001
Lexington,Fort Wayne,360,Dry Van,32000,14,12,6,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,836.1482999999998
Lexington,Fort Wayne,360,Dry Van,32000,15,12,0,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.1512999999998
Lexington,Fort Wayne,360,Dry Van,32000,16,12,1,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,839.1428999999998
Lexington,Fort Wayne,360,Dry Van,32000,17,12,2,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,839.9765999999996
Lexington,Fort Wayne,360,Dry Van,32000,18,12,3,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,840.5260999999997
Lexington,Fort Wayne,360,Dry Van,32000,19,12,4,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,840.2478999999998
Lexington,Fort Wayne,360,Dry Van,32000,20,12,5,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.9803000000002
Lexington,Fort Wayne,360,Dry Van,32000,21,12,6,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,837.216
Lexington,Fort Wayne,360,Dry Van,32000,22,12,0,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.5952999999998
Lexington,Fort Wayne,360,Dry Van,32000,23,12,1,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,839.4309
Lexington,Fort Wayne,360,Dry Van,32000,24,12,2,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,840.3655999999999
Lexington,Fort Wayne,360,Dry Van,32000,25,12,3,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,841.6796999999997
Lexington,Fort Wayne,360,Dry Van,32000,26,12,4,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,840.7684999999999
Lexington,Fort Wayne,360,Dry Van,32000,27,12,5,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,839.5522000000002
Lexington,Fort Wayne,360,Dry Van,32000,28,12,6,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,838.4943000000001
Lexington,Fort Wayne,360,Dry Van,32000,29,12,0,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,839.4293999999999
Lexington,Fort Wayne,360,Dry Van,32000,30,12,1,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,840.0255999999999
Lexington,Fort Wayne,360,Dry Van,32000,31,12,2,35.668019683751844,-90.96485895442243,35.66275030282357,-90.88383758027246,1.0548,2.05526,840.6357999999997
